sample,session,goal,horizon,mean_source_distance,mean_neighbor_displacement_cosine,D2_cosine
97,21,lift_red_block_table,2,4.645026206970215,0.13355422019958496,0.5619893670082092
98,21,place_in_slider,2,4.7974395751953125,0.47057756781578064,0.8149309158325195
99,21,turn_on_lightbulb,2,3.654850721359253,0.4486205577850342,0.6713763475418091
100,21,lift_red_block_table,2,4.251870155334473,0.0197189562022686,0.05587850883603096
101,21,lift_blue_block_slider,2,3.9176058769226074,0.37029963731765747,0.7518764734268188
102,21,place_in_slider,2,4.452220439910889,0.6001467108726501,0.8133877515792847
103,21,turn_on_lightbulb,2,4.584624767303467,0.18038317561149597,0.6705436110496521
104,21,place_in_slider,2,3.9395687580108643,0.6292179226875305,0.9400060176849365
105,21,turn_off_lightbulb,2,4.746855735778809,0.43083205819129944,0.711567759513855
106,21,place_in_slider,2,2.845829486846924,0.3682108521461487,0.7576853632926941
107,25,lift_blue_block_slider,2,5.122994422912598,0.21069912612438202,0.5929520726203918
108,25,place_in_slider,2,3.2790229320526123,0.25096195936203003,0.3737080693244934
109,25,turn_on_lightbulb,2,4.197613716125488,0.28876787424087524,0.6941998600959778
110,25,turn_off_lightbulb,2,3.84100604057312,0.4205683767795563,0.6827864646911621
111,25,lift_red_block_table,2,6.302628517150879,0.21103279292583466,0.6901804804801941
112,25,turn_on_lightbulb,2,3.2333426475524902,0.5026094317436218,0.722937285900116
113,25,lift_blue_block_slider,2,4.755268096923828,0.18653492629528046,0.49513673782348633
114,25,turn_off_lightbulb,2,3.541735887527466,0.5458270907402039,0.8192741274833679
115,25,lift_blue_block_slider,2,4.926383018493652,0.08660662919282913,0.28909459710121155
116,25,place_in_slider,2,3.5701377391815186,0.1009707823395729,0.1478453129529953
