sample,session,goal,horizon,HorizonCoreGain,D2_full_cosine,D2_execution_cosine,D2_full_mse,goal_mean_full_mse,D2_execution_mse,goal_mean_execution_mse
54,10,turn_on_lightbulb,2,-0.6005215644836426,0.9259229302406311,0.8627849817276001,0.45266562700271606,1.8962726593017578,0.43933168053627014,1.0850281715393066
55,10,turn_off_lightbulb,2,-3.3326096534729004,0.5655556321144104,0.5136719346046448,1.5036706924438477,1.5267598628997803,2.1776113510131836,2.385781764984131
56,10,place_in_slider,2,-0.7845802307128906,0.8643788695335388,0.8906911015510559,0.6370389461517334,1.6149935722351074,0.7563412189483643,2.3501739501953125
57,10,lift_red_block_table,2,-0.37109851837158203,0.6130184531211853,0.880448043346405,1.4352444410324097,1.3878977298736572,0.9118890762329102,1.4728320837020874
58,10,place_in_slider,2,-0.5175092220306396,0.7478771209716797,0.758253276348114,0.8815559148788452,1.34999680519104,1.0875951051712036,1.9627699851989746
59,10,lift_red_block_table,2,-0.575711727142334,0.08750765770673752,0.09606025367975235,1.5531513690948486,1.8759760856628418,1.8290960788726807,2.4440717697143555
60,10,turn_on_lightbulb,2,-1.1810719966888428,0.5641055107116699,0.4313655495643616,0.6928482055664062,1.1396052837371826,0.6813320517539978,0.9516932964324951
61,10,place_in_slider,2,-0.8049674034118652,0.8168958425521851,0.8636297583580017,0.8051853179931641,1.1944221258163452,0.7551814317703247,1.3068437576293945
62,20,turn_off_lightbulb,2,-0.2628145217895508,0.7976838946342468,0.8542367815971375,0.478531152009964,0.9064823389053345,0.5078495740890503,1.2803980112075806
63,20,push_pink_block_right,2,-1.2487754821777344,0.8014330863952637,0.7822229862213135,1.1842893362045288,1.8467910289764404,1.8410065174102783,2.967615842819214
64,20,lift_red_block_table,2,-1.11574125289917,0.41608476638793945,0.17641319334506989,1.1408147811889648,1.2948179244995117,1.8373370170593262,1.9990487098693848
65,20,turn_on_lightbulb,2,-0.2297067642211914,0.835224986076355,0.8014284372329712,2.772505760192871,6.036999702453613,3.691539764404297,6.8274078369140625
66,20,turn_off_lightbulb,2,-0.3192884922027588,0.780475378036499,0.8453429937362671,1.3425827026367188,1.8741908073425293,1.346842646598816,2.6251518726348877
67,20,lift_red_block_table,2,-2.2644052505493164,-0.4506034553050995,-0.5477867126464844,1.5970017910003662,1.870995283126831,2.796243906021118,3.294755697250366
68,20,place_in_slider,2,-0.8595499992370605,0.8159551024436951,0.7999555468559265,1.356210708618164,2.7056145668029785,2.00954008102417,4.005283355712891
