sample,session,goal,horizon,target_distance,margin,region_rank,semantic_rank,semantic_top1,semantic_cosine_margin
63,8,turn_on_lightbulb,1,4.510489463806152,-0.5762250423431396,2,2,0,-0.005678087472915649
63,8,turn_on_lightbulb,2,3.2432804107666016,-0.048319339752197266,2,1,1,0.042953819036483765
63,8,turn_on_lightbulb,4,3.5807151794433594,-0.6988210678100586,4,2,0,-0.0718013346195221
64,8,lift_red_block_table,0,5.369742393493652,-0.8365426063537598,3,5,0,-0.16005876660346985
64,8,lift_red_block_table,1,3.9434170722961426,0.20561885833740234,1,1,1,0.12903854250907898
64,8,lift_red_block_table,2,2.9586668014526367,0.0713343620300293,1,1,1,0.11906525492668152
64,8,lift_red_block_table,4,3.4390902519226074,-0.1812136173248291,2,1,1,0.03622996807098389
65,8,place_in_slider,0,7.088372707366943,-2.9377760887145996,6,6,0,-0.5582032203674316
65,8,place_in_slider,1,3.5028624534606934,0.5348849296569824,1,1,1,0.16283661127090454
65,8,place_in_slider,2,3.442166805267334,-0.054010629653930664,2,1,1,0.2081378996372223
65,8,place_in_slider,4,5.3354268074035645,-1.6541690826416016,6,6,0,-0.4288315773010254
66,8,lift_blue_block_slider,0,4.29495906829834,-1.883793592453003,5,3,0,-0.17693689465522766
66,8,lift_blue_block_slider,1,4.254018306732178,-0.38941001892089844,2,4,0,-0.0768292248249054
66,8,lift_blue_block_slider,2,2.511971950531006,0.6161389350891113,1,1,1,0.09514865279197693
66,8,lift_blue_block_slider,4,2.886904239654541,0.7749567031860352,1,1,1,0.11596858501434326
67,8,turn_on_lightbulb,0,5.718518257141113,-0.6924161911010742,4,5,0,-0.2007039338350296
67,8,turn_on_lightbulb,1,4.429734230041504,-0.06294631958007812,2,1,1,0.02708008885383606
67,8,turn_on_lightbulb,2,3.384075164794922,0.06520843505859375,1,1,1,0.12201172113418579
