kind,sample,session,source_goal,target_goal,horizon,cycle_full,cycle_semantic,cycle_execution,ground_truth_cycle_full,target_distance,execution_target_distance,target_rank,endpoint_error,decoded_action_mse,future_latent_mse,execution_knn_radius,local_pca_normal_distance,trajectory_jump
observed,80,14,place_in_slider,place_in_slider,4,2.799086809158325,2.462550640106201,1.3306883573532104,0.5738295316696167,5.132462501525879,3.4022457599639893,6,1,0.022307878360152245,0.44307512044906616,3.4022457599639893,1.208129644393921,0.12733864784240723
observed,81,14,turn_off_lightbulb,turn_off_lightbulb,4,2.1127748489379883,1.8350677490234375,1.0470645427703857,0.26141032576560974,2.303696870803833,1.8733360767364502,1,0,0.006084192544221878,0.16220930218696594,1.8733360767364502,1.0536572933197021,0.18821273744106293
observed,82,14,lift_red_block_table,lift_red_block_table,4,2.5408389568328857,2.4279885292053223,0.7488211989402771,0.35392215847969055,3.6783833503723145,2.423245429992676,3,1,0.012143346481025219,0.1980263590812683,2.423245429992676,1.1161640882492065,0.347018301486969
observed,83,14,turn_on_lightbulb,turn_on_lightbulb,4,2.254204034805298,1.611012578010559,1.5767290592193604,0.4195294678211212,3.0165913105010986,1.971133828163147,1,0,0.01778039149940014,0.3601466715335846,1.971133828163147,1.6478421688079834,0.24930696189403534
observed,84,14,lift_blue_block_slider,lift_blue_block_slider,4,4.12479305267334,1.7565462589263916,3.7320854663848877,0.4088633060455322,4.335054397583008,3.4164962768554688,3,1,0.03472660109400749,0.6714721322059631,3.4164962768554688,2.29884672164917,0.2709078788757324
observed,85,14,place_in_slider,place_in_slider,4,3.3246970176696777,2.786391258239746,1.8137352466583252,2.0594677925109863,5.138107776641846,3.2583870887756348,6,1,0.11886123567819595,3.257269859313965,3.2583870887756348,1.914992332458496,0.26048046350479126
observed,86,14,lift_blue_block_slider,lift_blue_block_slider,4,2.460364580154419,1.9836241006851196,1.4555513858795166,0.7212420105934143,3.2892651557922363,2.6290123462677,1,0,0.020096266642212868,0.5469619035720825,2.6290123462677,1.2864998579025269,0.14796847105026245
observed,87,14,lift_red_block_table,lift_red_block_table,4,2.8136532306671143,2.514580249786377,1.2623509168624878,0.3665259778499603,3.5727295875549316,2.6270511150360107,2,1,0.019100481644272804,0.2627367377281189,2.6270511150360107,1.406308889389038,0.30159443616867065
observed,88,14,turn_off_lightbulb,turn_off_lightbulb,4,2.4760544300079346,1.8946795463562012,1.594062328338623,0.35924673080444336,3.267092227935791,2.321519374847412,1,0,0.023548683151602745,0.5846238136291504,2.321519374847412,1.329207181930542,0.26259875297546387
observed,89,14,lift_red_block_table,lift_red_block_table,4,2.775264263153076,2.586402654647827,1.0062872171401978,0.422883003950119,3.594935655593872,2.5824105739593506,2,1,0.04480360075831413,0.5483226776123047,2.5824105739593506,1.3158149719238281,0.3047282099723816
